id_candidat,SEMESTRE,ANNEE_SEMESTRE,MODULE,NOTE_MODULE
2594,S3,2014-2015,TECHNOLOGIE DU WEB,13.88
2594,S3,2014-2015,ELECTRONIQUE,12.5
2594,S4,,NAN,
2594,S4,2014-2015,PROGRAMMATION2,14.63
2594,S4,2014-2015,STRUCTURES DE DONNEES,16.67
2594,S4,2014-2015,SYSTEME D'EXPLOITATION2,13.83
2594,S4,2014-2015,ANALYSE NUMERIQUE,10
2594,S4,2014-2015,ARCHITECTURE DES ORDINATEURS,12.5
2594,S4,2014-2015,ELECTROMAGNETISME,11
2594,S5,2014-2015,BASES DE DONNEES,13.8
2594,S5,2014-2015,COMPILATION,7.88
2594,S5,2014-2015,RESEAUX,11.2
2594,S5,2014-2015,RECHERCHE OPERATIONNELLE,7.7
2594,S5,2014-2015,CONCEPTION ORIENTEE OBJETS (UML),14.88
2594,S5,2014-2015,PROGRAMMATION ORIENTEE OBJETS,14
2594,S6,2014-2015,PROGRAMMATION RESEAU,10.9
2594,S6,2014-2015,BD2(PLSQL),15.7
2594,S6,2014-2015,WEB DYNAMIQUE(PHP),6.5
2594,S6,2014-2015,GESTION DE PROJET,13
2594,S6,2014-2015,PROJET TUTORE1,16
2594,S6,2014-2015,PROJET TUTORE2,16
5970,S1,2011/2012,"LANGUE 1,MTU,INFORMATIQUE 1",10.25
5970,S1,2012/2013,PHYSIQUE 1,10
5970,S1,2012/2013,ANALYSE 1,14
5970,S1,2011/2012,ALGEBRE 1,10
5970,S2,2011/2012,"LANGUE 2,INFORMATIQUE 2",13.32
5970,S2,2011/2012,ALGEBRE 2,13.3
5970,S2,2011/2012,ANALYSE 2,5.8
5970,S2,2011/2012,PHYSIQUE 2,8.1
5970,S3,2012/2013,ARCHITECTURE DES ORDINATEURS ET PROJET EN ASSEMBLEUR ,12
5970,S3,2013/2014,PHYSIQUE 3,9
5970,S3,2013/2014,ANALYSE 3,10.8
5970,S3,2013/2014,"LANGUE3 , INFORMATIQUE 3",10
5970,S3,,NAN,13
5970,S4,2012/2013,PROBABILITES ET STATISTIQUE  ET METHODES NUMERIQUE,11.6
5970,S4,2012/2013,SYSTEME D'EXPLOITATION ET PROJET UNIX,10
5970,S4,2012/2013,ALGORITHMES ET STURCTURES DE DONNEES,10
5970,S4,2012/2013,"LANGUE 4, TEC ET INFORMATIQUE 4",10.1
5970,S5,2014/2015,BASE DE DONNEES,12.6
5970,S5,2014/2015,COMPILATION,5.5
5970,S5,2014/2015,RESEAUX,13
5970,S5,2014/2015,RECHERCHE OPERATIONNELLE,6.5
5970,S5,2014/2015,C.O.O (UML),15
5970,S5,2014/2015,P.O.O EN C++,12
5970,S6,2013/2014,DEVELOPPEMENT WEB DYNAMIQUE,6.175
5970,S6,2013/2014,BASE DE DONNEES AVANCEES  ET ARCHITECTURE CLIENT SERVEUR,11.85
5970,S6,2013/2014,PFE ET ENTREPRENARIAT,11
5970,S6,2013/2014,PFE ,15
3047,S1,2012/2013,LANGUE 1 &METHODOLOGIE,19.5
3047,S1,2012/2013,ANALYSE 1,6.5
3047,S1,2012/2013,ALGEBRE 1,6
3047,S1,2012/2013,PHYSIQUE 1,9.48
3047,S2,2012/2013,LANGUE 2 & INFORMATIQUE I,16.69
3047,S2,2012/2013,ANALYSE 2,12.5
3047,S2,2012/2013,ALGEBRE 2,12
3047,S2,2012/2013,PHYSIQUE 2,15.78
3047,S3,2013/2014,LANGUE 3 & INFORMATIQUE III,12.88
3047,S3,2013/2014,ANALYSE 3,6.5
3047,S3,2013/2014,ARCHITECTURE DES ORDINATEURS & ASSEMBLEUR,19
3047,S3,2013/2014,PHYSIQUE 3,11.3
3047,S4,2013/2014,TEC & INFORMATIQUE 4,17.28
3047,S4,2013/2014,SYSTEME D'EXPLOITATION ET PROJET,16.59
3047,S4,2013/2014,ALGORITHMES ET STRUCTURES DE DONNEES,18.35
3047,S4,2013/2014,MATHEMATIQUES,9
3047,S5,2014/2015,BASES DE DONNEES,15.1
3047,S5,2014/2015,COMPILATION,10.75
3047,S5,2014/2015,RESEAUX,18.35
3047,S5,2014/2015,RECHERCHE OPERATIONNELLE,10.03
3047,S5,2014/2015,CONCEPTION ORIENTEE OBJETS (UML),13.38
3047,S5,2014/2015,PROGRAMMATION ORIENTEE OBJETS,13.75
3047,S6,2014/2015,PROGRAMMATION RESEAU,15.95
3047,S6,2014/2015,BD2 (PLSQL),15.3
3047,S6,2014/2015,WEB DYNAMIQUE (PHP),12.75
3047,S6,2014/2015,GESTION DE PROJET,15.2
3047,S6,2014/2015,PROJET TUTORE 1,16
3047,S6,2014/2015,PROJET TUTORE 2,16
2874,S1,2013,LANGUE 1 ET MATHODOLOGIE,16.85
2874,S1,2013,ANALYSE 1,11
2874,S1,2013,ALGEBRE 1,11
2874,S1,2013,PHYSIQUE 1 ,13.73
2874,S2,2013,LANGUE 2 ET INFORMATIQUE 2,10.66
2874,S2,2013,ANALYSE 2,13
2874,S2,2013,ALGEBRE 2,16.5
2874,S2,2013,PHYSIQUE 2,11.3
2874,S3,2014,LANGUE 3 ET INFORMATIQUE 3,13.88
2874,S3,2014,ANALYSE 3,16
2874,S3,2014,ARCHITECTURE DES ORDINATEURS ET ASSEMBLEUR,13.75
2874,S3,2014,PHYSIQUE 3,11
2874,S4,2014,TEC ET INFORMATIQUE 4,17.97
2874,S4,2014,SYSTEME D'EXPLOITATION ET PROJET,11.51
2874,S4,2014,ALGORITHMES ET STRUCTURES DE DONNEES,15.16
2874,S4,2014,MATHEMATIQUES,10.5
2874,S5,2015,BASES DE DONNEES,11.75
2874,S5,2015,COMPILATION,11.63
2874,S5,2015,RESEAUX,14.95
2874,S5,2015,RECHERCHE OPERATIONNELLE,10.35
2874,S5,2015,CONCEPTION ORIENTEE OBJET (UML),14.13
2874,S5,2015,PROGRAMMATION ORIENTEE OBJET ,10
2874,S5,A B C D,NAN,
2874,S6,2015,PROGRAMMATION RESEAU,11.35
2874,S6,2015, BASES DE DONNEES 2 ( PLSQL),15.8
2874,S6,2015,WEB DYNAMIQUE (PHP),15.25
2874,S6,2015,GESTION DE PROJET,16.3
2874,S6,2015,PROJET TUTORE 1,16
2874,S6,2015,PROJET TUTORE 2,16
4550,S1,2012,LANGUE 1 & METHODOLOGIE,18.75
4550,S1,2012,ANALYSE I,6
4550,S1,2012,ALGEBRE I,12
4550,S1,2012,PHYSIQUE I,12.8
4550,S2,2012,LANGUE 2 & INFORMATIQUE I,11.09
4550,S2,2012,ANALYSE II,11.5
4550,S2,2012,ALGEBRE II,10
4550,S2,2012,PHYSIQUE II,10.15
4550,S3,2013,LANGUE N3 & INFORMATIQUE 3,14
4550,S3,2013,ANALYSE III,5
4550,S3,2013,ARCHITECTURE DES ORDINATEURS & ASSEMBLEUR,13.5
4550,S3,2013,PHYSIQUE 3,12
4550,S4,2013,TEC & INFORMATIQUE 4,15
4550,S4,2013,SYSTEME D'EXPLOITATION ET PROJET,10.03
4550,S4,2013,ALGORITHMES ET STRUCTURES DES DONNEES,11.32
4550,S4,2014,MATHEMATIQUES,10
4550,S5,2014,BASES DE DONNEES,10.38
4550,S5,2015,COMPILATION,8.75
4550,S5,2014,RESEAUX,10
4550,S5,2015,RECHERCHE OPERATIONNELLE,8.9
4550,S5,2015,CONCEPTION ORIENTEE OBJETS(UML),14.38
4550,S5,2015,PROGRAMMATION ORIENTEE OBJETS,11.25
4550,S6,2015,PROGRAMMATION RESEAUX,13.85
